百色,北海,北流,宾阳,博白,岑溪,崇左,德保,防城港北,富川,扶绥,恭城,贵港,桂林,桂林北,桂林西,桂平,合浦,贺州,金城江,靖西,来宾,来宾北,濑湍,黎塘,柳江,柳州,隆安东,陆川,罗城,鹿寨北,南丹,南宁,南宁东,南宁西,宁明,平果,平南南,凭祥,钦州东,全州南,渠旧,渠黎,融安,融水,容县,三江南,三江县,藤县,田东北,田林,田阳,亭亮,文地,梧州,梧州南,夏石,兴安北,兴业,阳朔,宜州,永福南,玉林,钟山西,
0,3,0,10,0,0,0,0,0,0,0,0,11,5,5,5,8,2,0,0,0,6,0,0,10,7,7,14,0,0,2,0,0,35,35,0,24,9,0,3,1,0,0,0,0,0,0,0,8,15,2,16,0,0,16,0,0,1,0,0,0,1,0,0,
3,0,0,8,0,0,0,0,2,0,0,0,5,8,8,0,0,16,0,0,0,9,9,0,8,9,9,2,0,0,3,0,25,25,25,0,3,3,0,27,0,0,0,0,0,0,3,3,3,1,0,1,0,0,7,7,0,0,0,0,0,4,0,0,
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,
7,0,0,0,1,1,0,0,2,1,0,1,15,19,19,0,8,5,4,0,0,21,0,0,0,24,24,2,2,0,0,0,45,45,45,0,4,8,7,5,6,0,0,2,2,1,3,3,6,0,0,4,0,2,18,18,0,5,5,2,1,4,0,2,
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,6,6,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2,0,0,0,0,0,0,0,0,0,23,23,23,0,0,18,0,0,2,2,0,2,6,6,0,0,0,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,6,
13,4,0,15,1,0,0,0,1,1,0,0,0,8,8,0,21,4,3,4,0,14,0,0,0,20,20,3,9,0,2,2,50,50,0,0,8,0,3,4,2,0,0,1,1,1,1,1,24,4,0,5,0,6,47,0,0,1,11,0,4,2,0,0,
5,8,0,18,0,0,0,0,2,0,0,21,0,0,25,0,3,5,46,0,0,42,42,0,18,69,70,2,3,0,0,0,54,54,54,0,3,2,8,8,24,0,0,0,0,0,15,15,2,3,1,1,0,1,3,3,0,19,4,14,0,19,0,23,
5,8,0,18,0,0,0,0,2,0,0,21,8,29,0,0,3,5,46,0,0,41,41,0,18,69,70,2,2,0,0,0,54,54,54,0,3,2,8,8,24,0,0,0,0,0,15,15,2,3,1,1,0,1,3,3,0,19,3,14,0,19,6,23,
5,0,0,18,0,0,0,0,0,0,0,21,9,1,0,0,3,5,46,0,0,42,0,0,18,69,0,0,0,0,0,0,0,54,0,0,3,2,8,0,24,0,0,0,0,0,15,15,2,3,0,1,0,0,3,3,0,19,0,0,0,0,5,0,
